;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;;;Production;;;Running Time;;;;;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;Hyperparameter Optimization Method;;;;;;;;;;;;;;;;;total n of HPO techniques analyzed;
Rule ID;;UR: quality demands;;UR: computational efficiency of the HPO technique;;User's programming ability;;Access to parallel computing;;;Production use case;;;Time Resources;;Number of maximum function evaluations/ trials budget;;Cummulative Budget;;Wall Clock Time [s];;Running time per trial [s];;;Machine Learning Algorithm;;Obtainability of good approximate;;Supports parallel evaluations;;Usage of one-hot encoding for cat. features;;Dimensionality of HPs;;Conditional HP space;;#continuous HPs of ML alg.;;Obtainability of gradients;;;Dataset (name);;Number of instances in dataset;;Artificial noise in dataset;;Surrogate benchmarking;;Validation;;ML task;;Rule ID;Default Values;Random Search;Grid Search;SMAC;TPE;BO-GP BO;BO-Fabolas;BO-Spearmint GP;BO-MTBO;BO-BOHAMIANN;HP-LCNet;HB-Hyperband;BOHB;Population based;Gradient based;Approximation based;;16;
1;;high;2,3,4,5,6,7,8,9,10,11,12,13,14,25,29,30,31,32,33,34,35;high;28;high;3,4,10,11,12,13,14;yes;18;;Predictive Maintenance;15,16,17,18,19,20,21,22,23,24;;low;3,4,5,6,7,8,9,10,11,12,13,14;high;5,6,10,11;0,1;;<10;62;<10;16;;Mean Estimator;;yes;4;yes;8,9,13,14;yes;36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61;low;9,14;yes;20,24,27,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61;0;6,8,11,13,23,83,84,85;yes;3;;mnist surrogate (Klein2017);62,63,64,65,66,67,68;;;yes;84,85,88,91,92;yes;62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92;"k = 1
(no CV)";39,40,41,45,46,47,51,52,53,57,58,59,60,61;Regression;89,90,91,92;1;1,00000;;;;;;;;;;;;;;;;;;Hanno
2;;low;1;low;;medium:high;16,17,18,19,20,21,22,23,24;no;19,20,21,22,23,24;;Predictive Quality;1,2,3,4,5,6,7,8,9,10,11,12,13,14;;large;2;low;7,12;4000;;<100;73;10:100;18,19,20,21,22,23,24;;Random Forest;32,33,34,35;no;10,11,12,13,14;no;5,6,7,10,11,12;no;;high;8,13,26;no;21,23,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92;>=1;5,9,10,14,22,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,86,87,88,89,90,91,92;no;4,10,11,12,13,14;;Adult (OpenML);69,7;;;no;83,86,87,89,90;no;;k = 3 k-fold CV;29,30,31,32,33,34,35;Classification;69,70,71,72,79,80,81,82,83,84,85,86,87,88;2;;1,00000;;;;;;;;;;;;;;;;;
3;;;;;;medium;5,6,7,8,9;;;;Process Parameter Prediction;29,30,31,32,33,34,35;;;;<2;36,39,45,51;;;<200;29;>100;17;;Logistic Regression;39,40,41,42,43,44;;;;;no categorical features;29,30,31,32,33,34,35;<11;22,23,24;;;;;;;;Higgs (OpenML);71,72;;;;;;;"k = 5
k-fold CV";42,43,44,48,49,50,54,55,56;Image Recognition;39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,73,74,75,76,77,78;3;;;;;;;;;;;;;;;1,00000;;;;
4;;;;;;low;15;;;;;;;;;<5;54,57;;;<1000;79,81;;;;SVM w/ RBF kernel;63,64,65,66,67,68,83,84,85;;;;;;;>10;20,21;;;;;;;;Letter (OpenML);73,74,75,76;l;;;;;;n = 10 runs on entire dataset;62,63,64,65,66,67,68;Image Object Detection;;4;;;;;;;;;;;;;;;;1,00000;;;
5;;;;;;;;;;;;;;;;<10;42,48,60;;;<2000;32;;;;Simple Neural Net;45,46,47,48,49,50,51,52,53,54,55,56;l;;;;;;2;62,63,64,65,66,67,68,83,84,85;;;;;;;;MNIST (OpenML);39,40,41,42,43,44,77,78;l;;;;;;n = 256 runs on entire dataset;69,70,71,72,73,74,75,76,77,78,79,80,81,82;Time Series Prediction;29,30,31,32,33,34,35;5;;;;;;;;;;;;;;1,00000;;;;;
6;;;;;;;;;;;;;;;;<30;89,91;;;<4000;69;;;;2-Layer FC Net;86,87,88;l;;;;;;3;36,37,38;;;;;;;;Optdigits (OpenML);79,8;l;;;;;;;;Text;36,37,38;6;;;;0,50000;0,50000;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;<40;84;;;<10000;71;;;;Feed Forward Neural Net;69,70,71,72,73,74,75,76,77,78,79,80,81,82;l;;;;;;4;39,40,41,42,43,44;;;;;;;;Poker (OpenML);81,82;l;;;;;;;;Reinforcement Learning;;7;;;;0,50000;0,50000;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;<50;86;;;10:40;63;;;;Deep Neural Net;57,58,59,60,61;l;;;;;;6;29,30,31,32,33,34,35,69,70,71,72,73,74,75,76,77,78,79,80,81,82,86,87,88;;;;;;;;mrbi (mnist-rot-back-image) (Larochelle2007);51,52,53,54,55,56,60,61;l;;;;;;;;;;8;;;;0,50000;0,50000;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;<100;83,88;;;40:100;64;;;;XGBoost;29,30,31,89,90,91,92;l;;;;;;8;89,90,91,92;l;;;;;;;convex (Larochelle2007);45,46,47,48,49,50,57,58,59;l;;;;;;;;;;9;;;;;;1,00000;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;<200;20,21,22,23,24;;;100:400;65;;;;Latent Dirichlet Allocation;36,37,38;l;;;;;;14;45,46,47,48,49,50,51,52,53,54,55,56;;;;;;;;Blisk Milling (Florian Schlaich);29,30,31,32,33,34,35;l;;;;;;;;;;10;;;;;;;;;;;;;;1,00000;;;;;
11;;;;;;;;;;;;;;;;2:10;37;;;100:2000;74;;;;;;l;;;;;;16;;;;;;;;;16 OpenML classification datasets;83,84,85,86,87,88;l;;;;;;;;;;11;;;;0,50000;0,50000;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;2:20;46;;;200:2000;30;;;;;;l;;;;;;36;57,58,59,60,61;;;;;;;;10 UCI Regression datasets;89,90,91,92;l;;;;;;;;;;12;;;;0,50000;0,50000;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;2:50;40,52,58;;;400:50000;66;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;0,50000;0,50000;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;5:50;55;;;1000:10000;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;1,00000;;;;;;;;;;;;;
