,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,low,,,,,,Predictive Quality,,,,,,,yes,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,2.1990452492549935,,,,,,0.08457866343288438,,,,,,,0.07093694352435463,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,high,,,,,,Predictive Quality,,,,>86400,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.23266277460741439,,,,,,0.17897136508262645,,,,2.3266277460741436,,,,,,,,,,,,,,,,,User's programming ability_AI:_1
3,high,high,,,,,Predictive Quality,,,,1.0:86400,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.8111395433849424,4.024754540855427,,,,,1.3931842641422634,,,,2.4148527245132563,,,,,,,,,,,,,,,,,UR: need for model transparency_AI:_1
4,high,high,,,,,Predictive Quality,,,,1.0:86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,1.9358415579660746,4.301870128813499,,,,,1.4891088907431342,,,,2.581122077288099,,1.8436586266343564,,,,,,,,,,,,,,,UR: Availability of a well documented library_AI:_1
5,high,medium,,,,,Predictive Quality,>100,,,1.0:86400,,,no,,,,[continuous],,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.8172283975490281,1.4858698137255055,,,,,0.6286372288838677,3.2689135901961124,,,1.089637863398704,,,2.72409465849676,,,,0.5107677484681425,,,,,,,,,,UR: Computer operating system_AI:_1
6,high,medium,,,,,Predictive Quality,>100,,,1.0:86400,,,no,,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6561816584057845,1.19305756073779,,,,,0.5047551218506034,2.624726633623138,,,0.8749088778743792,,,2.187272194685948,,,,3.280908292028922,,,,,,,,,,Access to parallel computing_AI:_1
7,high,medium,,,,,Predictive Quality,<100,,,1.0:86400,,,no,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.9593325228837867,1.744240950697794,,,,,0.7379480945259898,3.1977750762792887,,,1.2791100305117156,,,3.1977750762792887,,,,,,,,,,,,,,Production use case_AI:_1
8,high,medium,,,,,Predictive Quality,,,,1.0:86400,,,yes,,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.7002215254394899,1.273130046253618,,,,,0.5386319426457614,,,,0.9336287005859865,,,0.451755822864187,,0.5601772203515919,,3.5011076271974493,,,,,,,,,,Number of maximum function evaluations/ trials budget_AI:_1
9,high,medium,,,,,Predictive Quality,,,,1.0:86400,,,yes,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.8998026261930792,1.6360047748965076,,,,,0.6921558663023686,,,,1.1997368349241055,,,0.5805178233503736,,3.5992105047723166,,0.5623766413706744,,,,,,,,,,Running time per trial [s]_AI:_1
10,high,high,,,,,Predictive Quality,>100,,,1.0:86400,,no,no,,,,[continuous],,no,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.7692827843477356,1.7095172985505234,,,,,0.5917559879597966,3.0771311373909422,,,1.025710379130314,,0.9616034804346694,2.564275947825785,,,,0.4808017402173347,,3.0771311373909422,,,,,,,,Number of kernels used_AI:_1
11,high,high,,,,,Predictive Quality,>100,,,1.0:86400,,no,no,,,,"[discrete, ordinal, nominal]",,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6763850530052791,1.5030778955672865,,,,,0.5202961946194454,2.7055402120211163,,,0.901846737340372,,0.8454813162565987,2.25461684335093,,,,3.381925265026395,,2.7055402120211163,,,,,,,,Total Computing Time [s]_AI:_1
12,high,high,,,,,Predictive Quality,<100,,,1.0:86400,,no,no,,,,,,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.8553718698097951,1.9008263773551,,,,,0.65797836139215,2.85123956603265,,,1.14049582641306,,1.0692148372622439,2.85123956603265,,,,,,3.4214874792391803,,,,,,,,Machine Learning Algorithm_AI:_1
13,high,high,,,,,Predictive Quality,,,,1.0:86400,,no,yes,,>10,,"[discrete, ordinal, nominal]",,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6752239534244496,1.5004976742765546,,,,,0.5194030410957305,,,,0.9002986045659328,,0.844029941780562,0.435628357048032,,0.5401791627395597,,3.376119767122248,,2.7008958136977985,,,,,,,,Obtainability of good approximate_AI:_1
14,high,high,,,,,Predictive Quality,,,,1.0:86400,,no,yes,,1.0:10,,[continuous],,no,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.7803058514977108,1.7340130033282461,,,,,0.6002352703828545,,,,1.0404078019969476,,0.9753823143721385,0.5034231299985231,,3.1212234059908432,,0.48769115718606926,,3.1212234059908432,,,,,,,,Supports parallel evaluations_AI:_1
15,,,,,,yes,Predictive Quality,<150,,8,1.0:100,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.4267726047491517,0.9027882023539748,2.934061657650418,,2.3472493261203344,3.912082210200557,1.3807348977178437,1.1177377743430164,0.7571772019743014,,0.3353213323029049,0.25793948638684994,0.7335154144126045,,,0.5588688871715082,0.3611152809415899,0.5724998356391059,,0.2173379005666976,0.9027882023539748,1.467030828825209,Usage of one-hot encoding for cat. features_AI:_1
16,,,,,,yes,Predictive Quality,<150,,8,100.0:4000,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.16186733084058294,0.34241166139354084,1.1128378995290078,,0.8902703196232062,4.451351598116031,0.5236884233077683,0.423938247439622,0.28718397407200197,,0.12718147423188658,0.09783190325529739,0.27820947488225195,,,0.211969123719811,0.13696466455741635,0.21713910234712347,,0.08243243700214872,0.34241166139354084,0.5564189497645039,Dimensionality of HPs_AI:_1
17,,,,,,no,Predictive Quality,<150,,1,1.0:100,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.6625371109605466,0.9428412732900086,3.0642341381925275,,0.4457067837370949,4.085645517590036,1.441992535620013,1.1673272907400105,0.7907701001787167,,0.35019818722200313,0.26938322094000244,0.7660585345481319,,,0.5836636453700053,0.3771365093160034,0.5978993440375664,,0.2269803065327798,0.9428412732900086,1.5321170690962638,Conditional HP space_AI:_1
18,,,,,,no,Predictive Quality,<150,,1,100.0:4000,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.24044784539129835,0.3421757799799246,1.112071284934755,,0.16175582326323706,4.44828513973902,0.5233276634987082,0.4236462037846685,0.28698613804767864,,0.12709386113540055,0.09776450856569274,0.27801782123368873,,,0.21182310189233425,0.13687031199196983,0.2169895190116595,,0.08237565073590776,0.3421757799799246,0.5560356424673775,HP datatypes_AI:_1
19,,,,,,yes,Predictive Quality,<150,,8,1.0:100,Decision Tree,yes,yes,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.1594387101182841,0.3372741944809856,1.0961411320632033,,0.8769129056505627,1.4615215094176042,4.384564528252813,0.4175775741193155,0.2828751308550202,,0.350765162260225,0.09636405556599589,0.2740352830158008,,,0.20878878705965775,0.13490967779239424,0.21388119650013723,,0.08119563941208913,0.3372741944809856,0.5480705660316016,Availability of a warm-start HP configuration_AI:_1
20,,,,,,no,Predictive Quality,<150,,1,1.0:100,Decision Tree,yes,yes,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.23623407181612285,0.336179256046021,1.0925825821495683,,0.158921102858119,1.4567767761994241,4.370330328598273,0.4162219360569783,0.28195679539343693,,0.34962642628786184,0.09605121601314885,0.27314564553739207,,,0.20811096802848916,0.1344717024184084,0.21318684529747672,,0.08093204312219023,0.336179256046021,0.5462912910747841,Obtainability of gradients_AI:_1
21,,,,,,yes,Predictive Quality,<150,,8,1.0:500,Support Vector Machine,no,yes,,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.08025502732668537,0.16977025011414212,0.5517533128709619,,0.4414026502967695,4.414026502967695,0.22070132514838475,0.2758766564354809,0.14238795170863533,,0.06305752147096708,0.1765610601187078,0.49044738921863273,,,0.10509586911827845,0.06790810004565685,0.10765918299921208,,0.0408706157682194,0.16977025011414212,0.2758766564354809,Input Data_AI:_1
