,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,low,,,,,,Predictive Quality,,,,,,,yes,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,2.8018539976825028,,,,,,0.10776361529548088,,,,,,,0.09038238702201622,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,high,,,,,,Predictive Quality,,,,>86400,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.25490196078431376,,,,,,0.19607843137254902,,,,2.549019607843137,,,,,,,,,,,,,,,,,User's programming ability_AI:_1
3,high,high,,,,,Predictive Quality,,,,1.0:86400,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,0.7512038523274479,1.6693418940609952,,,,,0.5778491171749599,,,,1.0016051364365972,,,,,,,,,,,,,,,,,UR: need for model transparency_AI:_1
4,high,high,,,,,Predictive Quality,,,,1.0:86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,0.7965376385917137,1.7700836413149195,,,,,0.6127212604551644,,,,1.0620501847889514,,0.7586072748492511,,,,,,,,,,,,,,,UR: Availability of a well documented library_AI:_1
5,high,medium,,,,,Predictive Quality,>100,,,1.0:86400,,,no,,,,[continuous],,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.5435171149973983,0.988212936358906,,,,,0.4180900884595372,2.174068459989593,,,0.7246894866631978,,,1.811723716657994,,,,0.33969819687337394,,,,,,,,,,UR: Computer operating system_AI:_1
6,high,medium,,,,,Predictive Quality,>100,,,1.0:86400,,,no,,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.4057011618481492,0.737638476087544,,,,,0.3120778168062686,1.6228046473925968,,,0.5409348824641989,,,1.352337206160497,,,,2.028505809240746,,,,,,,,,,Hardware: access to parallel computing?_AI:_1
7,high,medium,,,,,Predictive Quality,<100,,,1.0:86400,,,no,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.5178032589016296,0.9414604707302353,,,,,0.39831019915509963,1.7260108630054316,,,0.6904043452021726,,,1.7260108630054316,,,,,,,,,,,,,,Production application area_AI:_1
8,high,medium,,,,,Predictive Quality,,,,1.0:86400,,,yes,,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6158769264967398,1.1197762299940721,,,,,0.4737514819205691,,,,0.8211692353289863,,,0.39733995257854177,,0.49270154119739185,,3.079384632483699,,,,,,,,,,Number of maximum function evaluations/ trials budget_AI:_1
9,high,medium,,,,,Predictive Quality,,,,1.0:86400,,,yes,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.6868868350010285,1.2488851545473243,,,,,0.5283744884623296,,,,0.9158491133347045,,,0.443152796774857,,2.747547340004114,,0.4293042718756428,,,,,,,,,,Running time per trial [s]_AI:_1
10,high,high,,,,,Predictive Quality,>100,,,1.0:86400,,no,no,,,,[continuous],,no,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.4856171095866721,1.0791491324148268,,,,,0.3735516227589785,1.9424684383466884,,,0.6474894794488961,,0.6070213869833401,1.6187236986222402,,,,0.30351069349167004,,1.9424684383466884,,,,,,,,Number of kernels used_AI:_1
