,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,low,,,,,,Predictive Quality,,,,,,yes,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,2.1990452492549935,,,,,,0.08457866343288438,,,,,,0.07093694352435463,,,,,,,,,,,,,UR: quality demands_AI:_1
2,high,,,,,,Predictive Quality,,,>86400,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.23266277460741439,,,,,,0.17897136508262645,,,2.3266277460741436,,,,,,,,,,,,,,,,User's programming ability_AI:_1
3,high,high,,,,,Predictive Quality,,,1.0:86400,,,,,,,,yes,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,0.1336213620611075,0.2969363601357944,,,,,0.10278566312392884,,,0.17816181608147663,,,,,,,,2.6724272412221497,,,,,,,,UR: need for model transparency_AI:_1
4,high,high,,,,,Predictive Quality,,,1.0:86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,1.9358415579660744,4.301870128813498,,,,,1.489108890743134,,,2.5811220772880987,,1.8436586266343562,,,,,,,,,,,,,,UR: Availability of a well documented library_AI:_1
5,high,medium,,,,,Predictive Quality,>100,,1.0:86400,,,no,,,[continuous],,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.8162069870048726,1.3603449783414543,,,,,0.6278515284652867,3.2648279480194904,,1.0882759826731634,,,2.7206899566829086,,,0.5101293668780453,,,,,,,,,,UR: Computer operating system_AI:_1
6,high,medium,,,,,Predictive Quality,>100,,1.0:86400,,,no,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6518725734961849,1.086454289160308,,,,,0.5014404411509115,2.6074902939847395,,0.8691634313282465,,,2.172908578320616,,,3.2593628674809243,,,,,,,,,,Hardware: Number of workers/kernels for parallel computing_AI:_1
7,high,medium,,,,,Predictive Quality,<100,,1.0:86400,,,no,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.95542839863242,1.5923806643873666,,,,,0.7349449220249384,3.184761328774733,,1.2739045315098934,,,3.184761328774733,,,,,,,,,,,,,Production application area_AI:_1
8,high,medium,,,,,Predictive Quality,,,1.0:86400,,,yes,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.7011862075707583,1.1686436792845971,,,,,0.5393740058236602,,,0.9349149434276777,,,0.45237819843274724,0.5609489660566066,,3.5059310378537916,,,,,,,,,,Number of maximum function evaluations/ trials budget_AI:_1
9,high,medium,,,,,Predictive Quality,,,1.0:86400,,,yes,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.9045293098173885,1.5075488496956475,,,,,0.6957917767826066,,,1.2060390797565181,,,0.5835672966563797,3.618117239269554,,0.5653308186358679,,,,,,,,,,Running time per trial [s]_AI:_1
10,high,high,,,,,Predictive Quality,>100,,1.0:86400,,no,no,,,[continuous],,no,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.7692827843477356,1.7095172985505234,,,,,0.5917559879597966,3.0771311373909422,,1.025710379130314,,0.9616034804346694,2.564275947825785,,,0.4808017402173347,,3.0771311373909422,,,,,,,,Total Computing Time [s]_AI:_1
11,high,high,,,,,Predictive Quality,>100,,1.0:86400,,no,no,,,"[discrete, ordinal, nominal]",,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6763850530052791,1.5030778955672865,,,,,0.5202961946194454,2.7055402120211163,,0.901846737340372,,0.8454813162565987,2.25461684335093,,,3.381925265026395,,2.7055402120211163,,,,,,,,Machine Learning Algorithm_AI:_1
12,high,high,,,,,Predictive Quality,<100,,1.0:86400,,no,no,,,,,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.8553718698097951,1.9008263773551,,,,,0.65797836139215,2.85123956603265,,1.14049582641306,,1.0692148372622439,2.85123956603265,,,,,3.4214874792391803,,,,,,,,Obtainability of good approximate_AI:_1
13,high,high,,,,,Predictive Quality,,,1.0:86400,,no,yes,>10,,"[discrete, ordinal, nominal]",,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6752239534244496,1.5004976742765546,,,,,0.5194030410957305,,,0.9002986045659328,,0.844029941780562,0.435628357048032,0.5401791627395597,,3.376119767122248,,2.7008958136977985,,,,,,,,Supports parallel evaluations_AI:_1
14,high,high,,,,,Predictive Quality,,,1.0:86400,,no,yes,1.0:10,,[continuous],,no,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.7803058514977108,1.7340130033282461,,,,,0.6002352703828545,,,1.0404078019969476,,0.9753823143721385,0.5034231299985231,3.1212234059908432,,0.48769115718606926,,3.1212234059908432,,,,,,,,Dimensionality of HPs_AI:_1
15,,,,,,8,Predictive Quality,<150,,1.0:100,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,2.3112579766635877,0.8889453756398414,2.8890724708294844,,3.8520966277726454,1.3595635156844632,1.1005990365064702,0.7455670892463185,0.33017971095194104,0.2539843930399547,0.7222681177073711,,,0.5502995182532351,0.35557815025593653,0.5637214577228262,,0.20097895449248587,0.8889453756398414,1.4445362354147422,Conditional HP space_AI:_1
16,,,,,,8,Predictive Quality,<150,,100.0:4000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.8688371230708485,0.3341681242580186,1.0860464038385604,,4.344185615354242,0.5110806606299109,0.41373196336707063,0.28027003970027364,0.1241195890101212,0.09547660693086246,0.2715116009596401,,,0.20686598168353532,0.13366724970320745,0.21191149343191426,,0.07555105418007378,0.3341681242580186,0.5430232019192802,HP datatypes_AI:_1
17,,,,,,1,Predictive Quality,<150,,1.0:100,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.35011637548322927,0.9156889820330611,2.975989191607449,,3.9679855888099316,1.400465501932917,1.133710168231409,0.7679972107374061,0.3401130504694227,0.2616254234380175,0.7439972979018622,,,0.5668550841157045,0.36627559281322447,0.5806808178746241,,0.20702533506834425,0.9156889820330611,1.4879945958037244,Availability of a warm-start HP configuration_AI:_1
18,,,,,,1,Predictive Quality,<150,,100.0:4000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.1272221551579551,0.3327348673361903,1.0813883188426183,,4.325553275370473,0.5088886206318204,0.4119574547971879,0.27906795324970796,0.12358723643915638,0.09506710495319722,0.2703470797106546,,,0.20597872739859396,0.1330939469344761,0.21100259879855968,,0.07522701348470388,0.3327348673361903,0.5406941594213092,Obtainability of gradients_AI:_1
19,,,,,,8,Predictive Quality,<150,,1.0:100,Decision Tree,yes,yes,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.8573821102948467,0.32976235011340255,1.0717276378685583,,1.4289701838247442,4.286910551474233,0.4082771953784984,0.2765748742886602,0.34295284411793864,0.09421781431811502,0.2679319094671396,,,0.2041385976892492,0.13190494004536102,0.20911758787679186,,0.07455496611259536,0.32976235011340255,0.5358638189342791,Input Data_AI:_1
20,,,,,,1,Predictive Quality,<150,,1.0:100,Decision Tree,yes,yes,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.1251535743633382,0.32732473295026915,1.0638053820883748,,1.418407176117833,4.255221528353499,0.4052591931765237,0.2745304211840967,0.34041772226827993,0.09352135227150547,0.2659513455220937,,,0.20262959658826185,0.13092989318010767,0.2075717818709024,,0.07400385266701737,0.32732473295026915,0.5319026910441874,#Instances training dataset_AI:_1
21,,,,,,8,Predictive Quality,<150,,1.0:500,Support Vector Machine,no,yes,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.4301222110487093,0.16543161963411895,0.5376527638108866,,4.3012221104870925,0.21506110552435465,0.2688263819054433,0.1387491003382933,0.0614460301498156,0.1720488844194837,0.47791356783189914,,,0.10241005024969267,0.06617264785364758,0.10490785635334372,,0.037401931395539934,0.16543161963411895,0.2688263819054433,Ratio training to test dataset_AI:_1
22,,,,,,8,Predictive Quality,<150,,>500,Support Vector Machine,no,yes,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.4301222110487093,0.16543161963411895,0.5376527638108866,,4.3012221104870925,0.21506110552435465,0.2688263819054433,0.1387491003382933,0.0614460301498156,0.1720488844194837,0.47791356783189914,,,0.10241005024969267,0.06617264785364758,0.10490785635334372,,0.037401931395539934,0.16543161963411895,0.2688263819054433,Noise in dataset_AI:_1
