,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Hardware: access to high performance computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature characteristics,A_Number of features,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Decision Tree,D_Random Forest,D_kNN,"D_LinReg (Ridge, Lasso, Elastic Net)",D_Logistic Regression,"D_Support Vector Machine (SVR, SVC)",D_Naive Bayes Classifier,D_XGBoost,D_Multilayer Perceptron,D_Deep NN,D_Convolutional NN,D_LSTMs,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Hardware: access to high performance computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature characteristics,del_Number of features,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,high,,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,,,,,,,0.5000,,,,,1.111111111111111,,,,,,,,,,3.1111111111111107,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,,,,,,,,,yes,,Process Parameter Prediction,,,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,User's programming ability_AI:_1
3,,,,high,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,0.3333,,,,,,0.3333,,,,,,,,2.5,,,,,,,0.5,,,,,,,,,,,,,,UR: need for model transparency_AI:_1
4,,low,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,10.000000000000002,,,,,,,,,8.000000000000002,,,,,,,,,,,,,,UR: robustness of the model_AI:_1
5,,,,,,,,,,,,,,,,,>100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,2.7999999999999994,,,,,,0.7999999999999998,,UR: scalability of the model_AI:_1
6,,,,,,,,,,,,,,,,,<100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,0.5000,,,0.5000,,,,,,,,,,,,,,,,,,,,,,,2.545454545454546,,,,,,0.5454545454545455,,UR: Availability of a well documented library_AI:_1
7,,,,,,,,,,,,,,,,,>100000,,,,,,Regression,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,2.888888888888889,,,,,,0.888888888888889,,UR: HPO or use of default values?_AI:_1
8,,,,,,,,,,,,,,,,,<100000,,,,,,Regression,,,,,0.5000,,0.5000,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,0.6000000000000001,,UR: Computer operating system_AI:_1
9,,,,,,,,,no,,,,,,1.0:86400,,,,,,,,Regression,,,,,1.0000,,,,,,,,,,,,,,,,,5.03626594231042,,,,,,3.204896508742995,,,,,,,,2.7118355073979186,,Hardware: access to parallel computing?_AI:_1
10,high,,,,,,,,no,,,,,,1.0:86400,,,,,,,,Regression,,,1.0000,,,,,,,,,,,2.53000771915515,,,,,,,,5.0600154383103,,,,,,3.220009824379282,,,,,,,,2.7246236975517,,Hardware: access to high performance computing_AI:_1
11,high,,,,,,,,yes,,,,,,>86400,,,,,,,,Regression,,,,,,,,,,1.0000,,,,1.8860893543721342,,,,,,,,2.6405250961209883,,,,,,4.400875160201647,,,,,,,,2.0311731508622985,,Production application area_AI:_1
12,high,,,,,,,,no,yes,,,,,1.0:86400,,,,,,,,Regression,,,,,,,,,1.0000,,,,,2.642607742285848,,,,,,,,5.285215484571696,2.642607742285848,,,,,3.363318944727443,,,,,,,,2.845885260923221,,Number of maximum function evaluations/ trials budget_AI:_1
13,,,,,,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,0.5000,,,,0.5000,,,,,,,,,,,,4.738523846877072,,,,,,3.0154242661945005,,,,,,,,2.369261923438536,,Running time per trial [s]_AI:_1
14,high,,,,,,,,yes,,,,,,>86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,,,1.0000,,,,1.8359701840863136,,,,,,,,2.5703582577208395,,,,,,4.283930429534732,,,,,,,,1.8359701840863136,,Number of kernels used_AI:_1
15,high,,,,,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,1.0000,,,,,,,,,,,2.444444444444444,,,,,,,,4.888888888888888,,,,,,3.111111111111111,,,,,,,,2.444444444444444,,Total Computing Time [s]_AI:_1
16,,,,,yes,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,,1.0000,,,,,,,,,2.8666360455422693,,,,0.8190388701549339,,,,,,0.5212065537349581,,,,,,,,0.40951943507746696,,Input Data_AI:_1
17,,,,,,,,,,,,,,,,,,,,<100,,,"[Binary Classification, Multiclass Classification]",,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,#Instances training dataset_AI:_1
18,high,,,,,,,,no,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,,1.0000,,,,,2.444444444444444,,,,,,,,4.888888888888888,,,,,,3.111111111111111,,,,,,,,2.444444444444444,,Ratio training to test dataset_AI:_1
19,high,,,,,,,,,,,,,,,,,,,,,,"[Binary Classification, Multiclass Classification]",Image Recognition,,,,,,,,,,,,,0.16317848796612636,,,,,,,,,,,,,,,,,,,,,,0.16317848796612636,2.2844988315257693,Feature characteristics_AI:_1
20,,,,,,,,,,,,,,,1.0:86400,,,,,,,,Regression,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,13.000000000000002,,,,,,,,11.000000000000002,,Number of features_AI:_1
21,,,,,,,,,,,,,,,>86400,,,,,,,,Regression,,,0.17,,,,,,0.17,0.17,0.17,0.17,0.17,,,,,,,,,,,,,,,3.714285714285715,,,,,,,,1.7142857142857146,,Noise in dataset_AI:_1
22,,,,,,,,,,,,,,,>86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,,0.14,,,,0.14,,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,3.5,,,,,,,,1.5,,Training Technique_AI:_1
23,,,yes,,,,,,,,,,,,1.0:86400,,,,,,,,"[Binary Classification, Multiclass Classification]",,0.5,,,,0.5,,,,,,,,,,6.858193428304867,,,,,,,,,,,,5.611249168613074,,,,,,,,4.4088386324817,,ML task_AI:_1
24,,,no,,,,,,,,,,,,1.0:86400,,>100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,,1.00,,,,,,,,1.4056638346771633,,,,,,,,,,,,1.2778762133428756,,3.514159586692908,,,,,,1.0040455961979735,,Detailed ML task_AI:_1
25,,,no,,,,,,,,,,,,1.0:86400,,<100000,,,,,,"[Binary Classification, Multiclass Classification]",,,,,,,0.5,0.50,,,,,,,,0.9348281934118071,,,,,,,,,,,,0.8498438121925519,,3.116093978039357,,,,,,0.6677344238655765,,
26,low,,,,,,,,,,,,,,1.0:172800,,,,,,,,,,,,,0.5000,0.5000,,,,,,,,0.2,,,,,,,,,,,,,,0.2,,,,,,,,,,
27,low,"[low, medium]",,yes,yes,,,,,,"[Predictive Maintenance, Predictive Quality, Process Parameter Prediction]",,,,1.0:172800,,,,,,,,"[Classification, Regression]",,0.2000,0.2000,,0.2000,0.2000,,,0.2000,,,,,0.5926672593342224,0.9877787655570373,,0.5926672593342224,1.4816681483355558,,,,,,2.9633362966711116,,,,0.5926672593342224,,,,,,,,2.9633362966711116,,
28,,high,no,no,no,no,,,,,Predictive Quality,,,,>86400,Image data,1000.0:100000,1.0:4,,<10,,,Multiclass Classification,Object Detection,,,,,,,,,,,1.0000,,,0.5719391234975536,0.2859695617487768,1.429847808743884,1.429847808743884,0.9532318724959227,,,,,1.429847808743884,,,,0.47661593624796134,0.357461952185971,2.859695617487768,2.859695617487768,,2.859695617487768,,,0.714923904371942,2.859695617487768,
29,,high,no,no,no,no,,,,,Predictive Quality,,,,>86400,Tabular data,>100000,,"[continuous, discrete, nominal, timestamp]",>1000,,,Binary Classification,Part Failure,,,,,,,,1.0000,,,,,,0.6066351779820037,0.30331758899100186,1.5165879449550093,1.5165879449550093,1.0110586299700062,,,,,1.5165879449550093,,,,0.5055293149850031,0.23332122230077068,0.7582939724775046,,3.0331758899100185,3.0331758899100185,,,0.7582939724775046,3.0331758899100185,
30,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.3333,0.3333,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,
31,,"[low, medium]",,,,,,,,,,,,,,,,,,,,,,,,0.3333,,0.3333,,,,0.3333,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,
32,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,0.1667,0.1667,0.1667,0.1667,,0.2,,,,,,,,,,,,,,,,,,,,,,,
33,,"[low, medium]",yes,,,,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,"[Binary Classification, Multiclass Classification]",Image Regocnition,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.15384615384615383,2.1538461538461537,
35,,,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,Regression,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,3.9490507216355963,,,,,,,,,,,,1.518865662167537,2.4681567010222474,
36,,,,,,,,,,,,,,,,,,,,,,,Regression,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,3.2000000000000006,5.2,
37,,medium,,,,,,,,,,,,,,,,,,,,,,,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,
38,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.3333,0.3333,,0.2,,,,,,,,,,,,,,,,,,,,,,,
39,,,yes,,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
40,,,yes,,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
41,,,yes,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
42,,,yes,,,,,,,,,,,,,,,,,,,,,,0.2,0.07,0.1,0.2,0.1,0.07,0.2,0.07,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
43,,,yes,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
44,,,yes,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
45,,,yes,,,,,,,,,,,,,,,,,,,,,,0.35,,0.25,0.15,0.05,0.05,0.15,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,
