,rule_id,rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_#continuous HPs of ML alg.,A_Obtainability of gradients,A_Dataset (name),A_Number of instances in dataset,A_Artificial noise in dataset,A_Surrogate benchmarking,A_Validation,A_ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES (Pop-based),D_PBT,D_Population based,D_Gradient based,D_SMAC,D_TPE,D_BO-Gaussian Processes (f. e. Spearmint),D_BO-MTBO,D_BO-BOHAMIANN,D_BO - DNGO,D_SHA,D_HB-Hyperband,D_ASHA,D_BO-Fabolas,D_BOHB,D_HB-LCNet,D_Approximation based,delta_UR: quality demands,delta_User's programming ability,delta_Access to parallel computing,delta_Production use case,delta_Time Resources,delta_Number of maximum function evaluations/ trials budget,delta_Wall Clock Time [s],delta_Running time per trial [s],delta_Machine Learning Algorithm,delta_Obtainability of good approximate,delta_Supports parallel evaluations,delta_Usage of one-hot encoding for cat. features,delta_Dimensionality of HPs,delta_Conditional HP space,delta_#continuous HPs of ML alg.,delta_Obtainability of gradients,delta_Dataset (name),delta_Number of instances in dataset,delta_Artificial noise in dataset,delta_Surrogate benchmarking,delta_Validation,delta_ML task
1,1,,low,,,Predictive Quality,,,,,,,yes,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,,,0.02174,1.0,1.0,0.03226,1.0,1.0,1.0,1.0,1.0,1.0,0.04167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,,high,,,Predictive Quality,large,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,,0.02174,1.0,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,,high,high,,Predictive Quality,low,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,,high,high,,Predictive Quality,low,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,0.02174,0.04545,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,0.16667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,,high,medium,,Predictive Quality,low,high,,,,,no,,,,>=1,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,0.01695,1.0,1.0,1.0,1.0,0.04167,1.0,1.0,1.0,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,6,,high,medium,,Predictive Quality,low,high,,,,,no,,,,0,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,0.01695,1.0,1.0,1.0,1.0,0.04167,1.0,1.0,1.0,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7,,high,medium,,Predictive Quality,low,low,,,,,no,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,0.01695,1.0,1.0,1.0,1.0,0.04167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,,high,medium,,Predictive Quality,low,,,,,,yes,,high,,0,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,1.0,0.04167,1.0,0.01020,1.0,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9,,high,medium,,Predictive Quality,low,,,,,,yes,,low,,>=1,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,1.0,0.04167,1.0,0.01020,1.0,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,10,,high,high,,Predictive Quality,low,high,,,,no,no,,,,>=1,no,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,0.01695,1.0,1.0,1.0,0.16667,0.04167,1.0,1.0,1.0,0.01031,0.20000,1.0,1.0,1.0,1.0,1.0,1.0
11,11,,high,high,,Predictive Quality,low,high,,,,no,no,,,,0,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,0.01695,1.0,1.0,1.0,0.16667,0.04167,1.0,1.0,1.0,0.01031,0.20000,1.0,1.0,1.0,1.0,1.0,1.0
12,12,,high,high,,Predictive Quality,low,low,,,,no,no,,,,,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,0.01695,1.0,1.0,1.0,0.16667,0.04167,1.0,1.0,1.0,1.0,0.20000,1.0,1.0,1.0,1.0,1.0,1.0
13,13,,high,high,,Predictive Quality,low,,,,,no,yes,,high,,0,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,0.16667,0.04167,1.0,0.01020,1.0,0.01031,0.20000,1.0,1.0,1.0,1.0,1.0,1.0
14,14,,high,high,,Predictive Quality,low,,,,,no,yes,,low,,>=1,no,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,0.02174,0.04545,1.0,0.03226,0.07143,1.0,1.0,1.0,1.0,0.16667,0.04167,1.0,0.01020,1.0,0.01031,0.20000,1.0,1.0,1.0,1.0,1.0,1.0
15,15,,,low,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,,1.0,0.04545,1.0,0.03226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,16,,,medium:high,,Predictive Maintenance,,,,<10,,,,,,,,,,,,,,,,0.50000,,,,0.50000,,,,,,,,,,,,,,,1.0,0.04545,1.0,0.03226,1.0,1.0,1.0,0.11111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,17,,,medium:high,,Predictive Maintenance,,,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50000,,0.50000,1.0,0.04545,1.0,0.03226,1.0,1.0,1.0,0.11111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,18,,,medium:high,yes,Predictive Maintenance,,,,10:100,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,1.0,1.0,0.11111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,19,,,medium:high,no,Predictive Maintenance,,>200,,10:100,,,,,,,,,,,,,,,,0.50000,,,,0.50000,,,,,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,0.01695,1.0,0.11111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,>10,yes,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,0.01695,1.0,0.11111,1.0,1.0,1.0,1.0,0.01020,0.01099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,21,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,>10,no,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,0.01695,1.0,0.11111,1.0,1.0,1.0,1.0,0.01020,0.01099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,22,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,<11,,>=1,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,0.01695,1.0,0.11111,1.0,1.0,1.0,1.0,0.01020,1.0,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,23,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,<11,no,0,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,0.01695,1.0,0.11111,1.0,1.0,1.0,1.0,0.01020,0.01099,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,24,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,<11,yes,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1.0,0.04545,0.04545,0.03226,1.0,0.01695,1.0,0.11111,1.0,1.0,1.0,1.0,0.01020,0.01099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,25,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25000,0.25000,0.25000,,,,,,,,0.25000,,,0.02174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,26,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,0.25000,0.25000,,,,,,0.25000,,,0.25000,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,27,,,,,,,,,,,,,,,yes,>=1,,,,,,,,,0.16667,0.16667,,,,,0.16667,0.16667,,,,,,0.16667,,,0.16667,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01099,0.01031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,28,,,,,,low,,,,,,,,,,,,,,,,,,,0.33333,,,,,,,,,,,,,0.33333,,,0.33333,,,1.0,1.0,1.0,1.0,0.07143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
