,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_Dataset (name),A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES (Pop-based),D_PBT,D_Population based,D_Gradient based,D_SMAC,D_TPE,D_BO-Gaussian Processes,D_BO-MTBO,D_BO-BOHAMIANN,D_BO - DNGO,D_SHA,D_HB-Hyperband,D_ASHA,D_BO-Fabolas,D_BOHB,D_HB-LCNet,D_Approximation based,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Time Resources,del_Number of maximum function evaluations/ trials budget,del_Wall Clock Time [s],del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_Dataset (name),del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
1,1,,low,,,Predictive Quality,,,,,,,,,yes,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,,high,,,Predictive Quality,large,,,,,>86400,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,3,,high,high,,Predictive Quality,low,,,,,<86400,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,4,,high,high,,Predictive Quality,low,,,,,<86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
5,5,,high,medium,,Predictive Quality,low,>100,,,,<86400,,,no,,,,[continuous],,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
6,6,,high,medium,,Predictive Quality,low,>100,,,,<86400,,,no,,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
7,7,,high,medium,,Predictive Quality,low,<100,,,,<86400,,,no,,,,,,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
8,8,,high,medium,,Predictive Quality,low,,,,,<86400,,,yes,,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
9,9,,high,medium,,Predictive Quality,low,,,,,<86400,,,yes,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,10,,high,high,,Predictive Quality,low,>100,,,,<86400,,no,no,,,,[continuous],no,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
11,11,,high,high,,Predictive Quality,low,>100,,,,<86400,,no,no,,,,"[discrete, ordinal, nominal]",no,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
12,12,,high,high,,Predictive Quality,low,<100,,,,<86400,,no,no,,,,,no,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
13,13,,high,high,,Predictive Quality,low,,,,,<86400,,no,yes,,>10,,"[discrete, ordinal, nominal]",no,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
14,14,,high,high,,Predictive Quality,low,,,,,<86400,,no,yes,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],no,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
15,15,,,,yes,Predictive Quality,,<150,"<12,5",,8,<100,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
16,16,,,,yes,Predictive Quality,,<150,"12,5:500",,8,100:4000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
17,17,,,,no,Predictive Quality,,<150,<100,,1,<100,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
18,18,,,,no,Predictive Quality,,<150,100:4000,,1,100:4000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
19,19,,,,yes,Predictive Quality,,<150,,,8,<100,Decision Tree,yes,yes,,"[1, 2, 3]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,"1,00000",,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
