,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_Dataset (name),A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Time Resources,del_Number of maximum function evaluations/ trials budget,del_Wall Clock Time [s],del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_Dataset (name),del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
1,1,,low,,,Predictive Quality,,,,,,,,,yes,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,2.2066668353897994,,,0.09194445147457497,,,,,,,,,0.07880952983534997,,,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,2,,high,,,Predictive Quality,large,,,,,>86400,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.18346420309870803,,,0.10702078514091302,2.5684988433819127,,,,,1.2842494216909563,,,,,,,,,,,,,,,,,,,User's programming ability_AI:_1
3,3,,high,high,,Predictive Quality,low,,,,,<86400,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,2.1266436150250074,4.253287230050015,,1.2405421087645878,2.1266436150250074,,,,,2.1266436150250074,,,,,,,,,,,,,,,,,,,Access to parallel computing_AI:_1
4,4,,high,high,,Predictive Quality,low,,,,,<86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,33333","0,33333","0,33333",,,2.3085277810140266,4.617055562028053,,1.3466412055915153,2.3085277810140266,,,,,2.3085277810140266,,2.9381262667451247,,,,,,,,,,,,,,,,,Production use case_AI:_1
5,5,,high,medium,,Predictive Quality,low,>100,,,,<86400,,,no,,,,[continuous],,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,1.0851817726947381,3.038508963545267,,0.6330227007385972,1.0851817726947381,3.038508963545267,,,,1.0851817726947381,,,2.532090802954389,,,,0.47476702555394795,,,,,,,,,,,,Time Resources_AI:_1
6,6,,high,medium,,Predictive Quality,low,>100,,,,<86400,,,no,,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,0.9685946975162436,2.7120651530454825,,0.5650135735511421,0.9685946975162436,2.7120651530454825,,,,0.9685946975162436,,,2.2600542942045685,,,,3.3900814413068527,,,,,,,,,,,,Number of maximum function evaluations/ trials budget_AI:_1
7,7,,high,medium,,Predictive Quality,low,<100,,,,<86400,,,no,,,,,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.230122723415695,3.444343625563947,,0.7175715886591555,1.230122723415695,2.870286354636622,,,,1.230122723415695,,,2.870286354636622,,,,,,,,,,,,,,,,Wall Clock Time [s]_AI:_1
8,8,,high,medium,,Predictive Quality,low,,,,,<86400,,,yes,,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,0.9415383138172401,2.6363072786882724,,0.5492306830600567,0.9415383138172401,,,,,0.9415383138172401,,,0.47076915690862003,,0.5272614557376545,,3.29538409836034,,,,,,,,,,,,Running time per trial [s]_AI:_1
9,9,,high,medium,,Predictive Quality,low,,,,,<86400,,,yes,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,1.0961763215151366,3.069293700242383,,0.6394361875504964,1.0961763215151366,,,,,1.0961763215151366,,,0.5480881607575683,,3.069293700242383,,0.47957714066287227,,,,,,,,,,,,Number of kernels used_AI:_1
10,10,,high,high,,Predictive Quality,low,>100,,,,<86400,,no,no,,,,[continuous],no,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,1.19346246493559,2.38692492987118,,0.6961864378790942,1.19346246493559,3.3416949018196527,,,,1.19346246493559,,1.8564971676775845,2.7847457515163767,,,,0.5221398284093207,3.3416949018196527,,,,,,,,,,,Total Computing Time [s]_AI:_1
