,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
1,1,,low,,,Predictive Quality,,,,,,,yes,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,2.2066668353898,,,0.09194445147457497,,,,,,,0.07880952983534999,,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,2,,high,,,Predictive Quality,,,,>86400,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.34111348938646185,,,0.19898286880876942,,,,2.3877944257052333,,,,,,,,,,,,,,,,,,User's programming ability_AI:_1
3,3,,high,high,,Predictive Quality,,,,<86400,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,1.916935353194092,3.833870706388184,,1.1182122893632205,,,,1.916935353194092,,,,,,,,,,,,,,,,,,Access to parallel computing_AI:_1
4,4,,high,high,,Predictive Quality,,,,<86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,33333","0,33333","0,33333",,,2.130629165558189,4.261258331116378,,1.2428670132422768,,,,2.130629165558189,,2.711709847074059,,,,,,,,,,,,,,,,Production use case_AI:_1
5,5,,high,medium,,Predictive Quality,>100,,,<86400,,,no,,,,[continuous],,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,1.0366204028369879,2.902537127943566,,0.604695234988243,2.902537127943566,,,1.0366204028369879,,,2.418780939952972,,,,0.4535214262411822,,,,,,,,,,,Number of maximum function evaluations/ trials budget_AI:_1
6,6,,high,medium,,Predictive Quality,>100,,,<86400,,,no,,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,0.956697479317791,2.6787529420898153,,0.5580735296020448,2.6787529420898153,,,0.956697479317791,,,2.2322941184081793,,,,3.3484411776122687,,,,,,,,,,,Running time per trial [s]_AI:_1
7,7,,high,medium,,Predictive Quality,<100,,,<86400,,,no,,,,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.190220851917989,3.3326183853703695,,0.6942954969521603,2.7771819878086412,,,1.190220851917989,,,2.7771819878086412,,,,,,,,,,,,,,,Number of kernels used_AI:_1
8,8,,high,medium,,Predictive Quality,,,,<86400,,,yes,,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,0.8883759023635502,2.487452526617941,,0.5182192763787377,,,,0.8883759023635502,,,0.4441879511817751,,0.49749050532358813,,3.109315658272426,,,,,,,,,,,Total Computing Time [s]_AI:_1
9,9,,high,medium,,Predictive Quality,,,,<86400,,,yes,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,1.031620741714612,2.8885380768009137,,0.6017787660001902,,,,1.031620741714612,,,0.515810370857306,,2.8885380768009137,,0.4513340745001427,,,,,,,,,,,Machine Learning Algorithm_AI:_1
10,10,,high,high,,Predictive Quality,>100,,,<86400,,no,no,,,,[continuous],no,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,1.1604367187340454,2.320873437468091,,0.6769214192615265,3.249222812455328,,,1.1604367187340454,,1.8051237846974042,2.707685677046106,,,,0.507691064446145,3.249222812455328,,,,,,,,,,Obtainability of good approximate_AI:_1
11,11,,high,high,,Predictive Quality,>100,,,<86400,,no,no,,,,"[discrete, ordinal, nominal]",no,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.072437618153013,2.144875236306026,,0.6255886105892576,3.0028253308284367,,,1.072437618153013,,1.668236294904687,2.5023544423570305,,,,3.753531663535546,3.0028253308284367,,,,,,,,,,Supports parallel evaluations_AI:_1
12,12,,high,high,,Predictive Quality,<100,,,<86400,,no,no,,,,,no,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.3561227976289976,2.712245595257995,,0.7910716319502485,3.164286527800994,,,1.3561227976289976,,2.1095243518673295,3.164286527800994,,,,,3.7971438333611935,,,,,,,,,,Usage of one-hot encoding for cat. features_AI:_1
13,13,,high,high,,Predictive Quality,,,,<86400,,no,yes,,>10,,"[discrete, ordinal, nominal]",no,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,0.9908513156752324,1.9817026313504649,,0.5779966008105523,,,,0.9908513156752324,,1.5413242688281392,0.4954256578376162,,0.5548767367781302,,3.467979604863314,2.774383683890651,,,,,,,,,,Dimensionality of HPs_AI:_1
14,14,,high,high,,Predictive Quality,,,,<86400,,no,yes,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],no,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,1.1317209941312196,2.2634419882624393,,0.660170579909878,,,,1.1317209941312196,,1.7604548797596749,0.5658604970656098,,3.168818783567415,,0.4951279349324086,3.168818783567415,,,,,,,,,,Conditional HP space_AI:_1
15,15,,,,yes,Predictive Quality,<150,,8,<100,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.8126177946329495,1.0157722432911869,3.0473167298735606,,2.4378533838988488,4.0630889731647475,1.7413238456420346,2.216230348998953,0.8706619228210173,,0.3638587140147535,0.26789597625262074,0.7618291824683902,,0.5804412818806782,0.37505436675366904,0.6965295382568139,1.5236583649367803,1.7413238456420346,,0.22572716517581928,1.0157722432911869,1.5236583649367803,HP datatypes_AI:_1
16,16,,,,yes,Predictive Quality,<150,,8,100:4000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.3155954655902896,0.394494331987862,1.183482995963586,,0.9467863967708688,4.733931983854344,0.6762759976934777,0.8607149061553353,0.33813799884673884,,0.14131140250311475,0.10404246118361196,0.2958707489908965,,0.22542533256449257,0.14565944565705674,0.2705103990773911,0.591741497981793,0.6762759976934777,,0.08766540710841378,0.394494331987862,0.591741497981793,Obtainability of gradients_AI:_1
17,17,,,,no,Predictive Quality,<150,,1,<100,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,1.0371977059112216,1.0371977059112216,3.111593117733665,,0.45259536257944216,4.1487908236448865,1.7780532101335227,2.262976812897211,0.8890266050667613,,0.37153350659506446,0.2735466477128497,0.7778982794334163,,0.5926844033778409,0.38296530679798957,0.7112212840534091,1.5557965588668325,1.7780532101335227,,0.2304883790913826,1.0371977059112216,1.5557965588668325,Input Data_AI:_1
18,18,,,,no,Predictive Quality,<150,,1,100:4000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.39331659986828893,0.39331659986828893,1.179949799604867,,0.17162906176070788,4.719799198419468,0.6742570283456382,0.8581453088035396,0.3371285141728191,,0.14088952831102888,0.10373185051471358,0.2949874499012167,,0.2247523427818794,0.145224590720599,0.2697028113382553,0.5899748998024335,0.6742570283456382,,0.08740368885961976,0.39331659986828893,0.5899748998024335,#Instances training dataset_AI:_1
19,19,,,,yes,Predictive Quality,<150,,8,<100,Decision Tree,yes,yes,,"[1, 2, 3]",no,[continuous],,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.3115464874977799,0.38943310937222486,1.1682993281166747,,0.9346394624933398,1.5577324374888994,4.673197312466699,0.8496722386303089,0.3337998080333356,,0.42483611931515447,0.10270763324102636,0.2920748320291687,,0.22253320535555707,0.1437906865374369,0.2670398464266685,0.5841496640583373,0.6675996160666712,,0.08654069097160552,0.38943310937222486,0.5841496640583373,Ratio training to test dataset_AI:_1
20,20,,,,no,Predictive Quality,<150,,1,<100,Decision Tree,yes,yes,,"[1, 2, 3]",no,[continuous],,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.38743952526990605,0.38743952526990605,1.162318575809718,,0.16906452011777717,1.5497581010796242,4.649274303238872,0.845322600588886,0.33209102165991944,,0.422661300294443,0.10218185281843677,0.2905796439524295,,0.2213940144399463,0.14305459394581146,0.2656728173279356,0.581159287904859,0.6641820433198389,,0.08609767228220135,0.38743952526990605,0.581159287904859,Dataset balance_AI:_1
21,21,,,,yes,Predictive Quality,<150,,8,<500,Support Vector Machine,no,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,0.15586478124543085,0.19483097655678855,0.5844929296703657,,0.4675943437362926,4.675943437362926,0.2337971718681463,0.5195492708181029,0.16699797990581877,,0.06979020055765561,0.19483097655678855,0.5195492708181029,,0.11133198660387918,0.07193759134404501,0.133598383924655,0.29224646483518285,0.33399595981163754,,0.04329577256817523,0.19483097655678855,0.29224646483518285,Ratio positive to negative targets_AI:_1
22,22,,,,yes,Predictive Quality,<150,,8,>500,Support Vector Machine,no,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.15586478124543085,0.19483097655678855,0.5844929296703657,,0.4675943437362926,4.675943437362926,0.2337971718681463,0.5195492708181029,0.16699797990581877,,0.06979020055765561,0.19483097655678855,0.5195492708181029,,0.11133198660387918,0.07193759134404501,0.133598383924655,0.29224646483518285,0.33399595981163754,,0.04329577256817523,0.19483097655678855,0.29224646483518285,Noise in dataset_AI:_1
23,23,,,,yes,Predictive Quality,<600,,8,<6000,XGBoost,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, discrete, nominal]",,Tabular Data,<1000,,imbalanced,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,0.13792295562245113,0.1724036945280639,2.068844334336767,,0.41376886686735337,4.137688668673534,0.5172110835841918,0.37615351533395763,0.14777459530976905,,0.06175654729363483,0.1724036945280639,0.1798995073336319,,0.09851639687317937,0.6896147781122556,,0.2586055417920959,,,0.038311932117347534,0.1724036945280639,0.2586055417920959,Training Technique_AI:_1
24,24,,,,yes,Predictive Quality,<600,,8,<7000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,<1000,,imbalanced,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,0.1369905669044789,0.1712382086305986,2.0548585035671834,,0.4109717007134367,4.109717007134367,0.2935512147953119,0.3736106370122152,0.14677560739765594,,0.061339059807975625,0.04516172535312491,0.12842865647294896,,0.09785040493177063,0.6849528345223944,,0.2568573129458979,,,0.03805293525124413,0.1712382086305986,0.2568573129458979,ML Task_AI:_1
25,25,,,low,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,2.1052631578947367,,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,Detailed ML task_AI:_1
26,26,,,medium:high,,Predictive Maintenance,,<10,,,,,,,,,,,,,,,,,,,,,"0,50000",,"0,25000","0,25000",,,,,,,,,,,,,,,,,0.2559292868386161,,0.11516817907737725,,2.303363581547545,,,,,,,,,,,,,,,,,,,,
27,27,,,medium:high,,Predictive Maintenance,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,0.2559292868386161,,0.11516817907737725,,2.303363581547545,,,,,,,,,,,,,,,,,,,,
28,28,,,medium:high,yes,Predictive Maintenance,,10:100,,,,,,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,,2.4967428640002822,0.7490228592000846,1.123534288800127,,3.2100979680003627,,,,,,,,,,,,,,,,,,,,
29,29,,,medium:high,no,Predictive Maintenance,>200,10:100,,,,,,,,,,,,,,,,,,,,,"0,50000",,"0,25000","0,25000",,,,,,,,,,,,,,,,,0.30244125196754745,0.11341546948783031,0.1360985633853964,2.7219712677079273,0.3888530382439896,,,,,,,,,,,,,,,,,,,,
30,30,,,medium:high,no,Predictive Maintenance,<200,10:100,,,,,,,>10,yes,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,2.642685109653757,0.9910069161201589,1.1892082993441908,2.9730207483604767,3.3977379981262588,,,,,,,0.9513666394753526,0.9910069161201589,,,,,,,,,,,,
31,31,,,medium:high,no,Predictive Maintenance,<200,10:100,,,,,,,>10,no,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,2.3638755883543094,0.886453345632866,1.0637440147594392,2.659360036898598,3.0392686135983977,,,,,,,0.8509952118075514,0.23378989335372294,,,,,,,,,,,,
32,32,,,medium:high,no,Predictive Maintenance,<200,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1.9294400725059746,0.7235400271897405,0.8682480326276887,2.1706200815692216,2.480708664650539,,,,,,,3.4729921305107547,,0.5426550203923054,,,,,,,,,,,
