,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,low,,,,,,Predictive Quality,,,,,,,yes,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,2.1990452492549935,,,,,,0.08457866343288438,,,,,,,0.07093694352435463,,,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,high,,,,,,Predictive Quality,,,,>86400,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.20091751799824817,,,,,,0.17773472745998878,,,,2.310551456979854,,,,,,,,,,,,,,,,,,,User's programming ability_AI:_1
3,high,high,,,,,Predictive Quality,,,,1.0:86400,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.5145295588175627,3.870464428089327,,,,,1.3397761481847672,,,,2.3222786568535962,,,,,,,,,,,,,,,,,,,UR: need for model transparency_AI:_1
4,high,high,,,,,Predictive Quality,,,,1.0:86400,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,1.6926757384105662,4.325726887049225,,,,,1.4973669993631933,,,,2.595436132229535,,2.595436132229535,,,,,,,,,,,,,,,,,UR: Availability of a well documented library_AI:_1
5,high,medium,,,,,Predictive Quality,>100,,,1.0:86400,,,no,,,,[continuous],,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.7028416363606506,1.469577966935906,,,,,0.6217445244728833,3.233071527258993,,,1.077690509086331,,,2.6942262727158273,,,,0.5051674261342176,,,,,,,,,,,,UR: Computer operating system_AI:_1
6,high,medium,,,,,Predictive Quality,>100,,,1.0:86400,,,no,,,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.5637556427139635,1.1787617984019239,,,,,0.49870691470850625,2.5932759564842325,,,0.8644253188280775,,,2.1610632970701937,,,,3.2415949456052906,,,,,,,,,,,,Access to parallel computing_AI:_1
7,high,medium,,,,,Predictive Quality,<100,,,1.0:86400,,,no,,,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.8182240539760941,1.710832112859106,,,,,0.7238135862096218,3.136525540241694,,,1.2546102160966777,,,3.136525540241694,,,,,,,,,,,,,,,,Production use case_AI:_1
8,high,medium,,,,,Predictive Quality,,,,1.0:86400,,,yes,,>10,,"[discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,0.6051425537308818,1.2652980668918437,,,,,0.5353184129157801,,,,0.9278852490540187,,,0.44897673341323485,,0.5567311494324112,,3.47956968395257,,,,,,,,,,,,Number of maximum function evaluations/ trials budget_AI:_1
9,high,medium,,,,,Predictive Quality,,,,1.0:86400,,,yes,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,0.776465361640651,1.6235184834304524,,,,,0.6868732045282683,,,,1.1905802211823315,,,0.5760872037979023,,3.5717406635469953,,0.558084478679218,,,,,,,,,,,,Running time per trial [s]_AI:_1
10,high,high,,,,,Predictive Quality,>100,,,1.0:86400,,no,no,,,,[continuous],,no,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,0.6626224312670175,1.6933684354601557,,,,,0.586165996890054,3.0480631838282806,,,1.0160210612760936,,0.9525197449463376,2.5400526531902337,,,,0.4762598724731688,,3.0480631838282806,,,,,,,,,,Number of kernels used_AI:_1
