;Rule Weight ?_k;Dimensionality of HPs;Conditional HP Space;#continuous HPs of ML alg.;Number of possible function evaluations/maximum number of trials;Machine Learning Algorithm;Dataset to perform ML task;Usage of One-Hot Encoding for cat. features of dataset;k-fold Cross Validation;Task that was performed by the ML algorithm who's HPs were optimized
1;;3;no;>=1;<2;Latent Dirichlet Allocation;;yes;;Text;Spearmint GP
2;;3;no;>=1;2-10;Latent Dirichlet Allocation;;yes;;Text;SMAC-Spearmint GP
3;;3;no;>=1;>10;Latent Dirichlet Allocation;;yes;;Text;all
4;;4;no;>=1;<2;Logistic Regression;mnist;yes;1;Image Recognition;SMAC-TPE-Spearmint GP
5;;4;no;>=1;2-50;Logistic Regression;mnist;yes;1;Image Recognition;Spearmint GP
6;;4;no;>=1;>50;Logistic Regression;mnist;yes;1;Image Recognition;all
7;;4;no;>=1;<10;Logistic Regression;mnist;yes;5;Image Recognition;SMAC-TPE-Spearmint GP
8;;4;no;>=1;10-100;Logistic Regression;mnist;yes;5;Image Recognition;Spearmint GP
9;;4;no;>=1;>100;Logistic Regression;mnist;yes;5;Image Recognition;all
10;;14;yes;>=1;<2;Simple Neural Net;convex;yes;1;Image Recognition;SMAC
11;;14;yes;>=1;2-20;Simple Neural Net;convex;yes;1;Image Recognition;SMAC-TPE
12;;14;yes;>=1;20-200;Simple Neural Net;convex;yes;1;Image Recognition;SMAC-TPE-Spearmint GP
13;;14;yes;>=1;<10;Simple Neural Net;convex;yes;5;Image Recognition;SMAC
14;;14;yes;>=1;10-100;Simple Neural Net;convex;yes;5;Image Recognition;SMAC-TPE
15;;14;yes;>=1;100-500;Simple Neural Net;convex;yes;5;Image Recognition;SMAC
16;;14;yes;>=1;<2;Simple Neural Net;mrbi;yes;1;Image Recognition;SMAC
17;;14;yes;>=1;2-50;Simple Neural Net;mrbi;yes;1;Image Recognition;SMAC-TPE
18;;14;yes;>=1;50-200;Simple Neural Net;mrbi;yes;1;Image Recognition;SMAC-TPE-Spearmint GP
19;;14;yes;>=1;<5;Simple Neural Net;mrbi;yes;5;Image Recognition;SMAC-TPE-Spearmint GP
20;;14;yes;>=1;5-50;Simple Neural Net;mrbi;yes;5;Image Recognition;SMAC-TPE
21;;14;yes;>=1;50-500;Simple Neural Net;mrbi;yes;5;Image Recognition;SMAC
22;;36;yes;>=1;<5;Deep Neural Net;convex;yes;1;Image Recognition;SMAC-TPE
23;;36;yes;>=1;2-50;Deep Neural Net;convex;yes;1;Image Recognition;SMAC-TPE-Spearmint GP
24;;36;yes;>=1;50-200;Deep Neural Net;convex;yes;1;Image Recognition;SMAC-TPE-Spearmint GP
25;;36;yes;>=1;<10;Deep Neural Net;mrbi;yes;1;Image Recognition;SMAC-TPE-Spearmint GP
26;;36;yes;>=1;10-200;Deep Neural Net;mrbi;yes;1;Image Recognition;SMAC-TPE
