;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;Production;;;Running Time;;;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;;total n of HPO techniques analyzed;;
Rule ID;;UR: quality demands;1;User's programming ability;1;Access to parallel computing;1;;Production use case;1;;Time Resources;1;Number of maximum function evaluations/ trials budget;1;Wall Clock Time [s];1;Running time per trial [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;#continuous HPs of ML alg.;1;Obtainability of gradients;1;;Dataset (name);1;Number of instances in dataset;1;Artificial noise in dataset;1;Surrogate benchmarking;1;Validation;1;ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES (Pop-based);PBT;Population based;Gradient based;SMAC;TPE;BO-Gaussian Processes (f. e. Spearmint);BO-MTBO;BO-BOHAMIANN;BO - DNGO;SHA;HB-Hyperband;ASHA;BO-Fabolas;BOHB;HB-LCNet;Approximation based;;20;;
;;0,0217;46;0,0455;22;0,0455;22;;0,0323;31;;0,0714;14;0,0169;59;0,0244;41;0,1111;9;;0,0114;88;0,1667;6;0,0417;24;0,0303;33;0,0102;98;0,0110;91;0,0103;97;0,2000;5;;0,0114;88;0,0000;0;0,1000;10;0,0323;31;0,0196;51;0,0114;88;;2,45;4,28;0,62;1,45;3,15;4,45;1,45;20,53;13,95;18,32;1,90;8,87;2,87;1,98;5,93;3,98;3,07;12,68;2,11;1,95;;;;
1;;low;0,02174;;;;;;Predictive Quality;0,03226;;;;;;;;;;;;;;;yes;0,04167;;;;;;;;;;;;;;;;;;;;;;;;1;1,00000;;;;;;;;;;;;;;;;;;;;;;Hanno;
2;;high;0,02174;;;;;;Predictive Quality;0,03226;;large;0,07143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1,00000;;;;;;;;;;;;;;;;;;;;;;
3;;high;0,02174;high;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1,00000;;;;;;;;;;;;;;;;;
4;;high;0,02174;high;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;;;;;;;;;;yes;0,16667;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;1,00000;;;;
5;;high;0,02174;medium;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;high;0,01695;;;;;;;;;;no;0,04167;;;;;;;>=1;0,01031;;;;;;;;;;;;;;;;5;;;;;;1,00000;;;;;;;;;;;;;;;;;;
6;;high;0,02174;medium;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;high;0,01695;;;;;;;;;;no;0,04167;;;;;;;0;0,01031;;;;;;;;;;;;;;;;6;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
7;;high;0,02174;medium;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;low;0,01695;;;;;;;;;;no;0,04167;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
8;;high;0,02174;medium;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;;;;;;;;;;;;yes;0,04167;;;high;0,01020;;;0;0,01031;;;;;;;;;;;;;;;;8;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
9;;high;0,02174;medium;0,04545;;;;Predictive Quality;0,03226;;low;0,07143;;;;;;;;;;;;yes;0,04167;;;low;0,01020;;;>=1;0,01031;;;;;;;;;;;;;;;;9;;;;;;;;;;1,00000;;;;;;;;;;;;;;
