;;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;X;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;Production;;;Running Time;;;;;;;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;;total n of HPO techniques analyzed;;
Rule ID;;UR: quality demands;1;User's programming ability;1;Access to parallel computing;1;;Production use case;1;;Time Resources;1;Number of maximum function evaluations/ trials budget;1;Wall Clock Time [s];1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Obtainability of gradients;1;;Input Data;1;Dataset (name);1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML Task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES (Pop-based);PBT;Population based;Gradient based;SMAC;TPE;BO-Gaussian Processes;BO-MTBO;BO-BOHAMIANN;BO - DNGO;SHA;HB-Hyperband;ASHA;BO-Fabolas;BOHB;HB-LCNet;Approximation based;;20;;
;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0625;16;0,0145;69;0,0175;57;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0093;108;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;4,96;0,80;4,63;3,33;4,63;1,63;22,71;16,63;20,50;2,08;9,05;3,05;2,16;7,61;4,16;3,25;15,36;2,29;2,13;;;;
1;;low;0,06667;;;;;;Predictive Quality;0,01961;;;;;;;;;;;;;;;;;;;yes;0,02941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,00000;;;;;;;;;;;;;;;;;;;;;;Hanno Generic;
2;;high;0,06667;;;;;;Predictive Quality;0,01961;;large;0,06250;;;;;;;;;>86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1,00000;;;;;;;;;;;;;;;;;;;;;;
3;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;low;0,06250;;;;;;;;;<86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1,00000;;;;;;;;;;;;;;;;;
4;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;low;0,06250;;;;;;;;;<86400;0,01000;;;;yes;0,05000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;1,00000;;;;
5;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;low;0,06250;>100;0,01449;;;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;1,00000;;;;;;;;;;;;;;;;;;
6;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;low;0,06250;>100;0,01449;;;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;[discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
