;;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;X;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;Production;;;;;;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;
Rule ID;;UR: quality demands;1;User's programming ability;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML Task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;
;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0145;69;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;5,04;0,87;6,71;5,41;1,71;22,79;16,71;20,57;2,16;9,12;3,12;2,24;7,69;4,24;3,66;16,27;2,70;;;;
1;;low;0,06667;;;;;;Predictive Quality;0,01961;;;;;;;;;;;;;;;yes;0,02941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,00000;;;;;;;;;;;;;;;;;;;;Hanno Generic;
2;;high;0,06667;;;;;;Predictive Quality;0,01961;;;;;;;;>86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1,00000;;;;;;;;;;;;;;;;;;;;
3;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1,00000;;;;;;;;;;;;;;;;
4;;high;0,06667;high;0,04545;;;;Predictive Quality;0,01961;;;;;;;;<86400;0,01000;;;;yes;0,05000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;0,33333;0,33333;0,33333;;;;
5;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;>100;0,01449;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;5;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;
6;;high;0,06667;medium;0,04545;;;;Predictive Quality;0,01961;;>100;0,01449;;;;;<86400;0,01000;;;;;;no;0,02941;;;;;;;[discrete, ordinal, nominal];0,00826;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
