;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;;;;;;;Production;;;;;;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;;;
Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;
;;0,0370;27;0,0323;31;0,1429;7;0,1429;7;0,1429;7;0,0152;66;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0086;116;;0,0085;117;0,0323;31;0,0270;37;0,0270;37;0,0082;122;0,0086;116;0,0078;128;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0526;19;0,0588;17;0,0500;20;0,0086;116;0,0086;116;0,0105;95;;12,47;7,61;2,58;8,13;6,31;1,78;24,50;17,95;22,34;2,23;9,34;3,19;3,83;10,98;5,35;4,23;19,22;2,94;;;;;;
1;;low;0,03704;;;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;;;;;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,00000;;;;;;;;;;;;;;;;;;;;Hanno Generic;;;
2;;high;0,03704;;;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;>86400;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1,00000;;;;;;;;;;;;;;;;;;;;;;
3;;high;0,03704;high;0,03226;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;1.0:86400;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1,00000;;;;;;;;;;;;;;;;;;
4;;high;0,03704;high;0,03226;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;1.0:86400;0,00862;;;;yes;0,03226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;0,33333;0,33333;0,33333;;;;;;
5;;high;0,03704;medium;0,03226;;;;;;;;;;Predictive Quality;0,01754;;>100;0,01449;;;;;1.0:86400;0,00862;;;;;;no;0,02703;;;;;;;[continuous];0,00781;;;;;;;;;;;;;;;;;;;;;;;;5;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;
6;;high;0,03704;medium;0,03226;;;;;;;;;;Predictive Quality;0,01754;;>100;0,01449;;;;;1.0:86400;0,00862;;;;;;no;0,02703;;;;;;;[discrete, ordinal, nominal];0,00781;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
