;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;;;;;;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;;;;;;;;;;;;;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;total n of HPO techniques analyzed;;;;;;;;;;;;;
Rule ID;thetas;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: robustness of the model;1;UR: scalability of the model;1;UR: Availability of a well documented library;1;UR: HPO or use of default values?;1;UR: Computer operating system;1;Hardware: access to high performance computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Feature datatypes;1;Number of features;1;Noise in dataset;1;Training technique;1;ML task;1;Detailed ML task;1;Rule ID;DT;RF;KNN;EN;LogReg;SVM;NB;XGB;MLP;DNN;CNN;LSTM;;12;;;;;;;;;;;;;
;;0,1429;7;#DIV/0!;0;0,3333;3;#DIV/0!;0;1,0000;1;#DIV/0!;0;#DIV/0!;0;#DIV/0!;0;0,5000;2;;#DIV/0!;0;;#DIV/0!;0;#DIV/0!;0;0,1111;9;0,0667;15;;;0;0,1667;6;#DIV/0!;0;#DIV/0!;0;1,0000;1;#DIV/0!;0;#DIV/0!;0;0,0476;21;1,0000;1;;1,00;2,31;0,50;3,00;2,00;2,64;1,50;3,31;2,81;0,31;0,31;0,31;;;;;;;;;;;;;;;
1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>100000;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;1;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;scikit-learn cheatsheet;;;;;;;;;;;
2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100000;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;2;0,0000;0,0000;0,5000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>100000;;;;;;;;;;;;Regression;;;;3;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100000;;;;;;;;;;;;Regression;;;;4;0,0000;0,0000;0,0000;0,5000;0,0000;0,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;5;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;azure cheatsheet;;;;;;;;;;;
6;1;high;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;6;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
7;1;high;;;;;;;;;;;;;;;;;;;;;;;;;;>1;;>43200;;;;;;;;;;;;;;;;;Regression;;;;7;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
8;1;high;;;;;;;;;;;;;;;;yes;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;9;0,0000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
10;1;high;;;;;;;;;;;;;;;;;;;;;;;;;;>1;;>43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;10;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
11;1;high;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;11;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
12;1;;;;;;;;;yes;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
13;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;13;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;
