;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;;;;;;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;;;;;;;;;;;;;;;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;total n of HPO techniques analyzed;;;;;;;;;;;;;
Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: robustness of the model;1;UR: scalability of the model;1;UR: Availability of a well documented library;1;UR: HPO or use of default values?;1;UR: Computer operating system;1;Hardware: access to parallel computing?;1;Hardware: access to high performance computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Feature characteristics;1;Number of features;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Decision Tree;Random Forest;kNN;LinReg (Ridge, Lasso, Elastic Net);Logistic Regression;Support Vector Machine (SVR, SVC);Naive Bayes Classifier;XGBoost;Multilayer Perceptron;Deep NN;Convolutional NN;LSTMs;;12;;;;;;;;;;;;;
;;0,0526;19;0,0556;18;0,0526;19;0,1250;8;0,2500;4;0,1250;8;0,2500;4;0,1667;6;0,0588;17;0,0476;21;;0,0714;14;;#DIV/0!;0;0,3333;3;#DIV/0!;0;0,0238;42;;;21;0,0714;14;0,1429;7;0,1250;8;0,1111;9;0,1667;6;#DIV/0!;0;0,0278;36;0,0833;12;;6,23;13,19;4,63;-191,53;-94,62;5,62;-95,13;15,72;5,60;2,74;10,32;6,00;;;;;;;;;;;;;;;
1;;high;;;;;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0,5000;;;;;;;;Flo;;which ML algorithms are easy to parallelize?;;;;;;;;;
2;;;;;;;;;;;;;;;;;;yes;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
3;;;;;;;;high;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;0,3333;;;;;;0,3333;;;;;;;;;;;;;;;;;;;
4;;;;low;;;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>100000;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;5;;;;;1,0000;;;;;;;;;;;scikit-learn cheatsheet;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100000;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;6;;;0,5000;;;0,5000;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>100000;;;;;;;;;;;;Regression;;;;7;;;;1,0000;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100000;;;;;;;;;;;;Regression;;;;8;;;;0,5000;;0,5000;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;Regression;;;;9;;;;1,0000;;;;;;;;;;;;azure cheatsheet;;;;;;;;;;;
10;;high;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;Regression;;;;10;;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;
11;;high;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;>86400;;;;;;;;;;;;;;;;;Regression;;;;11;;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;
12;;high;;;;;;;;;;;;;;;;no;;yes;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;Regression;;;;12;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;13;;;;;0,5000;;;;0,5000;;;;;;;;;;;;;;;;;;
14;;high;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;>86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;14;;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;
15;;high;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;15;;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;yes;;;;;;;;no;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;16;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100;;;;;;[Binary Classification, Multiclass Classification];;;;17;;;;;;1,0000;;;;;;;;;;;;;;;;;;;;;
18;;high;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;18;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
